category,model_mode,prompt_text,source_url
anh,Nano Banana ProImage,"Surreal, cinematic night scene of a majestic horse galloping through an unexpected indoor space, its body glowing with soft radiant light, halo-like aura illuminating the room. Dust and fabric caught in slow motion, dramatic high-contrast lighting, deep shadows with warm luminous highlights, epic wide-angle shot, dynamic motion blur, surreal yet photorealistic, moody atmosphere, ultra-detailed, 35mm film still.",https://picsart.com/vi/create
anh,Seedream 4.5Image,"Cinematic streetwear editorial set inside an open subway carriage, shot straight on with the train doors framing the composition. Main central focus on a bold Gen Z main character standing confidently in the doorway, direct gaze, futuristic slim sunglasses, oversized layered streetwear in monochrome tones, wide leg pants, chunky sneakers. They hold an unexpected object such as a bouquet of metallic flowers, adding surreal contrast. Background passengers blurred and turned slightly away, creating depth and isolation. Harsh subway lighting mixed with subtle flash, gritty urban texture, symmetrical composition, sharp focus on the subject, cool desaturated tones, high fashion campaign aesthetic.",https://picsart.com/vi/create
anh,Nano Banana ProImage,"Elegant product photography of a luxury crystal perfume bottle on a slab of white Carrara marble with grey veining. Dramatic single-source side lighting creates a sharp highlight along the bottle's faceted crystal edges and casts a long geometric shadow. A single fresh peony lies beside the bottle with petals slightly unfurled. Deep charcoal gradient background. High-end commercial style, razor-sharp focus, studio photography.",https://picsart.com/vi/create
anh,GPT Image 1.5Image,"A warm watercolor illustration of a cozy independent bookshop on a quiet autumn street. A marmalade cat sleeps curled up in the front window display, nestled between stacked vintage books with worn leather spines. Inside, warm yellow light glows through the glass panes illuminating wooden shelves packed floor to ceiling. A small handwritten 'Open' sign hangs on the green door, and fallen maple leaves scatter across the cobblestone sidewalk. Whimsical storybook style, soft washes of amber, burgundy, and forest green.",https://picsart.com/vi/create
anh,Seedream 4.5Image,"Photorealistic portrait of an astronaut standing alone in a vast field of orange and purple wildflowers at golden hour. The setting sun hangs low on the horizon, its warm light creating a cinematic lens flare that catches the edge of the helmet visor. The wildflower meadow stretches endlessly, and the reflection in the polished visor reveals the landscape and a distant mountain range. The white spacesuit shows realistic weathering and mission patches. Shot on 85mm f/1.4, shallow depth of field.",https://picsart.com/vi/create
anh,Nano Banana ProImage,"Photorealistic portrait of an adorable 1-year-old baby sitting upright on a soft cream blanket, wearing a light blue onesie, chubby cheeks, big brown eyes looking at the camera with a curious expression, upper body clearly visible with arms resting on lap, soft natural window light, warm nursery background slightly blurred, clean studio-quality portrait, 85mm lens.",https://picsart.com/vi/create
anh,Recraft V3Image,"A professional photographer in a modern studio adjusting camera settings, warm natural lighting from large windows, bokeh background",https://picsart.com/vi/create
anh,Nano Banana ProImage,"A portrait of a women dressed in a beige trench coat with a relaxed silhouette, a black mini skirt, and knee-high leather boots with visible scuff marks. The subject walks in the middle of a pedestrian crosswalk on a wet road surface while holding a large black umbrella overhead. Her face and hair is visible. Scene content is limited strictly to the road and pedestrian crosswalk only: clearly visible wet zebra crossing lines, gritty reflective asphalt, subtle puddle reflections—exclude any urban structures, vehicles, signage, neon lights, or city background elements. Lighting is soft overcast daylight with muted shadows and neutral exposure, consistent with genuine high-up street surveillance / traffic camera footage on a rainy day. Composition: wide high-angle framing, candid and slightly impersonal, documentary-style realism, no cinematic grading, no stylized lighting, neutral subdued palette, hyper-real texture fidelity.",https://picsart.com/vi/create
anh,Recraft V3Image,"A cozy wooden cabin nestled in a lush forest, surrounded by tall pine trees and soft greenery. The house has warm glowing lights from the windows, with detailed wooden textures and a rustic yet elegant design. In the far background, a calm lake reflects the sky, partially visible through the trees. Golden hour lighting with soft sunlight filtering through the forest, creating warm highlights and gentle shadows. Peaceful, cinematic atmosphere, ultra-realistic, highly detailed, natural colors, depth of field, eye-catching composition, 4K quality.",https://picsart.com/vi/create
anh,Flux 2 ProImage,"Ultra-realistic landscape photography of a tranquil alpine lake at sunrise, a small wooden dock extending over calm water, a lone person sitting at the end of the dock looking at the mountains, tall evergreen pine forest surrounding the lake, majestic snow-covered mountain peaks in the background, soft golden sunlight filtering through the trees, warm morning light illuminating mist rising from the lake surface, perfectly calm water with natural reflections of trees and mountains, lush green vegetation in the foreground, cinematic composition, atmospheric depth, natural color grading, documentary style nature photography, National Geographic quality, shot on a full-frame DSLR, 35mm lens, f/8, ISO 100, ultra detailed, sharp focus, photorealistic, 8k",https://picsart.com/vi/create
anh,Seedream 4.5Image,"A classic, cream-white 1960s Ford Mustang coupe, subtly weathered with dirt on its lower panels, is parked at an angle on an asphalt road's shoulder. The car's front is brightly illuminated by warm, low sunlight, accentuating its chrome grille featuring the iconic Mustang emblem (the logo), circular headlights, and a front fender antenna. Visible are black multi-spoke wheels with chrome hubcaps and a tan interior. To the left, a dry, golden-brown grassy field meets the road, while a dense line of tall pine trees forms the backdrop under a clear, pale blue and amber-hued sky. The image, captured with a slightly low, eye-level perspective, has a nostalgic, film-like grain. eye level car fully visible shot.",https://picsart.com/vi/create
